layer_id,target_module,backdoor_module_name,clean_module_name,backdoor_rank,clean_rank,backdoor_lora_alpha,clean_lora_alpha,backdoor_lora_scale_alpha_over_rank,clean_lora_scale_alpha_over_rank,backdoor_top1,clean_top1,delta_top1,backdoor_top3,clean_top3,delta_top3,backdoor_entropy,clean_entropy,delta_entropy,backdoor_effective_rank,clean_effective_rank,delta_effective_rank,backdoor_fro_norm,clean_fro_norm,delta_fro_norm,backdoor_max_singular_value,clean_max_singular_value,delta_max_singular_value,backdoor_normalized_singular_values,clean_normalized_singular_values,norm_comparison_note
8,down_proj,base_model.model.model.layers.8.mlp.down_proj,base_model.model.model.layers.8.mlp.down_proj,8,8,16,32,2.0,4.0,0.8743011355400085,0.4769209623336792,0.39738017320632935,0.9425589442253113,0.8323641419410706,0.11019480228424072,0.28703700916199243,0.7272831003461596,-0.4402460911841672,1.816436620099916,4.537347959228391,-2.7209113391284756,0.47336503863334656,0.542861819267273,-0.06949678063392639,0.4426155984401703,0.37489748001098633,0.06771811842918396,"[1.0, 0.23494322036209286, 0.151238089338504, 0.13328226740144153, 0.12134553147565787, 0.11724540734857894, 0.10272731129031226, 0.09439905593394433]","[1.0, 0.6461516031833451, 0.5725168751120874, 0.36963526768055127, 0.2760017471321531, 0.2451352886671237, 0.22436188100740634, 0.1681058036458128]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
8,gate_proj,base_model.model.model.layers.8.mlp.gate_proj,base_model.model.model.layers.8.mlp.gate_proj,8,8,16,32,2.0,4.0,0.8095855116844177,0.7115827202796936,0.09800279140472412,0.9242265820503235,0.9081267714500427,0.01609981060028076,0.38685834812630465,0.4972799810954218,-0.11042163296911717,2.2354651335083178,2.8124743585685756,-0.5770092250602579,0.9819967150688171,0.9964728951454163,-0.014476180076599121,0.8835709095001221,0.8405783176422119,0.042992591857910156,"[1.0, 0.311406880529093, 0.21125917945798192, 0.16642606918845698, 0.1513833441492297, 0.13003563174503807, 0.12261820639158762, 0.10505392994807021]","[1.0, 0.45063876327737284, 0.27042859014857157, 0.21083277835151112, 0.1809451281341464, 0.1474182194812234, 0.12865414048112103, 0.11677081380378773]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
8,k_proj,base_model.model.model.layers.8.self_attn.k_proj,base_model.model.model.layers.8.self_attn.k_proj,8,8,16,32,2.0,4.0,0.45115670561790466,0.49939998984336853,-0.04824328422546387,0.8287240266799927,0.853310763835907,-0.024586737155914307,0.7392604881001982,0.6586132369066042,0.08064725119359395,4.65177547394798,3.933571236080874,0.7182042378671061,0.4001140296459198,0.503260612487793,-0.10314658284187317,0.2687493860721588,0.35564538836479187,-0.08689600229263306,"[1.0, 0.7350556398154614, 0.5445921940691746, 0.3316721619502374, 0.32394106146189955, 0.2718948321046986, 0.23708968761882837, 0.18588945802675683]","[1.0, 0.7724266326693163, 0.3347075484022723, 0.3263080280277026, 0.2716226969519953, 0.226943102677769, 0.18319712130888235, 0.16855501652116706]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
8,o_proj,base_model.model.model.layers.8.self_attn.o_proj,base_model.model.model.layers.8.self_attn.o_proj,8,8,16,32,2.0,4.0,0.6430659890174866,0.3475082218647003,0.29555776715278625,0.8809335827827454,0.7672514915466309,0.1136820912361145,0.5799843741035361,0.8283694003713429,-0.24838502626780679,3.3402431409680258,5.598763349950951,-2.258520208982925,0.3953663408756256,0.429802268743515,-0.034435927867889404,0.3170497715473175,0.25336769223213196,0.06368207931518555,"[1.0, 0.5134767129532802, 0.3259413635007062, 0.24271186759318225, 0.20336041284306652, 0.1922781685258861, 0.15866916390349137, 0.15080795559493065]","[1.0, 0.7898448987715149, 0.7642059873607455, 0.4560536717226116, 0.39788421227087717, 0.36311664650773756, 0.2986491145382009, 0.2870925374243864]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
8,q_proj,base_model.model.model.layers.8.self_attn.q_proj,base_model.model.model.layers.8.self_attn.q_proj,8,8,16,32,2.0,4.0,0.6079849004745483,0.567306399345398,0.04067850112915039,0.8665024042129517,0.8724303841590881,-0.005927979946136475,0.6214570157907475,0.6419435891615253,-0.02048657337077775,3.6410916298685065,3.799555805907373,-0.15846417603886653,0.42151394486427307,0.47793862223625183,-0.05642467737197876,0.3286686837673187,0.3599821627140045,-0.03131347894668579,"[1.0, 0.5115274887106261, 0.4044049526803382, 0.2827472089737204, 0.23111271274941875, 0.1974849049594357, 0.17305709470306868, 0.13139934827617444]","[1.0, 0.5813241364328512, 0.4471119580541331, 0.2926212747631281, 0.24601417650819848, 0.18255377495333427, 0.1536140997468581, 0.1476330671329747]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
8,up_proj,base_model.model.model.layers.8.mlp.up_proj,base_model.model.model.layers.8.mlp.up_proj,8,8,16,32,2.0,4.0,0.7422129511833191,0.5250393748283386,0.21717357635498047,0.8775603771209717,0.8321228623390198,0.045437514781951904,0.4960619999620114,0.7012511183809614,-0.20518911841895004,2.805360159861481,4.298261792664772,-1.4929016328032914,0.749850869178772,0.8253896236419678,-0.0755387544631958,0.6460099220275879,0.5980740189552307,0.04793590307235718,"[1.0, 0.32372430027436166, 0.2784944577758324, 0.2218559217319995, 0.20168903221258638, 0.18064497140128183, 0.15267481423196813, 0.1382924735621477]","[1.0, 0.5697018950635623, 0.5102125599348696, 0.3561571601881878, 0.2675057756031308, 0.2278513430862236, 0.21115339449793638, 0.15758382211232053]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
8,v_proj,base_model.model.model.layers.8.self_attn.v_proj,base_model.model.model.layers.8.self_attn.v_proj,8,8,16,32,2.0,4.0,0.6936951875686646,0.5831971168518066,0.11049807071685791,0.9461501836776733,0.8603073358535767,0.08584284782409668,0.4687584929314342,0.6480096465676577,-0.17925115363622351,2.650520095560571,3.847787002466457,-1.1972669069058859,0.4082224369049072,0.38185665011405945,0.02636578679084778,0.34000179171562195,0.29161378741264343,0.048388004302978516,"[1.0, 0.5279574113032777, 0.29187123150523636, 0.17855989275427844, 0.1309425517683334, 0.1107843233072129, 0.09211702486385889, 0.08853885856128994]","[1.0, 0.5061907922740416, 0.4678973851129313, 0.27940696591239494, 0.24405220882918485, 0.21914869643998658, 0.18987200732554688, 0.13349796140699963]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
9,down_proj,base_model.model.model.layers.9.mlp.down_proj,base_model.model.model.layers.9.mlp.down_proj,8,8,16,32,2.0,4.0,0.8904736638069153,0.441033273935318,0.4494403898715973,0.9536012411117554,0.791776180267334,0.1618250608444214,0.25651189445167794,0.7733032499599352,-0.5167913555082573,1.7047210482024517,4.993009840035559,-3.288288791833107,0.42657244205474854,0.5254709720611572,-0.09889853000640869,0.40253472328186035,0.348967045545578,0.05356767773628235,"[1.0, 0.21246867509341943, 0.16046538771808977, 0.12273753252430031, 0.11867587265518525, 0.09657530334296205, 0.08885843555820376, 0.07572815137740745]","[1.0, 0.6816285748763535, 0.5750285390589485, 0.3838570255276299, 0.3716269701814552, 0.28302330155342836, 0.2543020170733047, 0.20470123083258557]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
9,gate_proj,base_model.model.model.layers.9.mlp.gate_proj,base_model.model.model.layers.9.mlp.gate_proj,8,8,16,32,2.0,4.0,0.8128051161766052,0.5646162033081055,0.24818891286849976,0.9226055145263672,0.8811496496200562,0.041455864906311035,0.38007592565177833,0.6207722382025621,-0.24069631255078378,2.204158203292183,3.635910569043014,-1.4317523657508309,1.0681862831115723,0.9746947288513184,0.0934915542602539,0.9630308747291565,0.7323948740959167,0.23063600063323975,"[1.0, 0.29761294455020887, 0.21567287927685977, 0.195829253826381, 0.16275505931586087, 0.1155651595592418, 0.09598203302511354, 0.08838958550228795]","[1.0, 0.6262981130407884, 0.41032624330958817, 0.32376307492455575, 0.2187001197228381, 0.16919971903261083, 0.1279681168259214, 0.11331784732949546]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
9,k_proj,base_model.model.model.layers.9.self_attn.k_proj,base_model.model.model.layers.9.self_attn.k_proj,8,8,16,32,2.0,4.0,0.5359955430030823,0.3583918809890747,0.17760366201400757,0.8304166197776794,0.7665491700172424,0.06386744976043701,0.678623418334492,0.8174517123843706,-0.13882829404987862,4.100700149252919,5.473088317898401,-1.3723881686454815,0.428105890750885,0.5039563179016113,-0.07585042715072632,0.31342366337776184,0.301697701215744,0.011725962162017822,"[1.0, 0.6288945361748061, 0.39215968084445835, 0.35992004851687587, 0.28112205830069414, 0.2391168167589369, 0.17099724125878016, 0.14628938941515504]","[1.0, 0.801352524054668, 0.7047634688112911, 0.5015672762672628, 0.38589406907533563, 0.32872649172033414, 0.2765299242983633, 0.2576243703260648]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
