module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,clean_sensitivity_raw,clean_sensitivity_norm_global,clean_sensitivity_norm_by_module,suspiciousness_score_prelim,prompt_count_used,token_count_used,notes,A_key,B_key
base_model.model.model.layers.26.mlp.gate_proj,26,gate_proj,2,0.2089332491159439,0.010608444921672344,0.0,0.0,0.0,0.010608444921672344,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.26.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.26.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.29.mlp.gate_proj,29,gate_proj,2,0.1996619999408722,0.01041461806744337,0.0,0.0,0.0,0.01041461806744337,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.29.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.28.mlp.up_proj,28,up_proj,1,0.15400636196136475,0.009796176105737686,0.0,0.0,0.0,0.009796176105737686,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.28.mlp.up_proj.lora_A.weight,base_model.model.model.layers.28.mlp.up_proj.lora_B.weight
base_model.model.model.layers.31.self_attn.q_proj,31,q_proj,1,0.08694495260715485,0.009507623501121998,0.0,0.0,0.0,0.009507623501121998,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.31.self_attn.q_proj.lora_B.weight
base_model.model.model.layers.29.mlp.up_proj,29,up_proj,1,0.13631881773471832,0.00888577289879322,0.0,0.0,0.0,0.00888577289879322,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.up_proj.lora_A.weight,base_model.model.model.layers.29.mlp.up_proj.lora_B.weight
base_model.model.model.layers.27.mlp.up_proj,27,up_proj,2,0.1429777294397354,0.008850304409861565,0.0,0.0,0.0,0.008850304409861565,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.27.mlp.up_proj.lora_A.weight,base_model.model.model.layers.27.mlp.up_proj.lora_B.weight
base_model.model.model.layers.19.mlp.gate_proj,19,gate_proj,2,0.1478596031665802,0.0067543457262218,0.0,0.0,0.0,0.0067543457262218,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.19.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.19.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.30.mlp.gate_proj,30,gate_proj,1,0.17521187663078308,0.006635962054133415,0.0,0.0,0.0,0.006635962054133415,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.30.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.30.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.16.mlp.gate_proj,16,gate_proj,2,0.13969451189041138,0.00631903437897563,0.0,0.0,0.0,0.00631903437897563,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.16.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.16.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.29.mlp.up_proj,29,up_proj,2,0.11440281569957733,0.0062583088874816895,0.0,0.0,0.0,0.0062583088874816895,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.up_proj.lora_A.weight,base_model.model.model.layers.29.mlp.up_proj.lora_B.weight
base_model.model.model.layers.30.mlp.up_proj,30,up_proj,1,0.11105059087276459,0.005953356623649597,0.0,0.0,0.0,0.005953356623649597,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.30.mlp.up_proj.lora_A.weight,base_model.model.model.layers.30.mlp.up_proj.lora_B.weight
base_model.model.model.layers.27.mlp.gate_proj,27,gate_proj,2,0.14873582124710083,0.005854652263224125,0.0,0.0,0.0,0.005854652263224125,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.27.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.27.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.18.mlp.up_proj,18,up_proj,2,0.1007719486951828,0.005331984721124172,0.0,0.0,0.0,0.005331984721124172,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.18.mlp.up_proj.lora_A.weight,base_model.model.model.layers.18.mlp.up_proj.lora_B.weight
base_model.model.model.layers.28.mlp.up_proj,28,up_proj,2,0.1109282448887825,0.005082337651401758,0.0,0.0,0.0,0.005082337651401758,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.28.mlp.up_proj.lora_A.weight,base_model.model.model.layers.28.mlp.up_proj.lora_B.weight
base_model.model.model.layers.31.mlp.gate_proj,31,gate_proj,2,0.10470100492238998,0.004797646775841713,0.0,0.0,0.0,0.004797646775841713,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.31.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.21.mlp.gate_proj,21,gate_proj,2,0.1253991425037384,0.004261182155460119,0.0,0.0,0.0,0.004261182155460119,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.21.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.21.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.30.mlp.up_proj,30,up_proj,2,0.09302910417318344,0.004177898168563843,0.0,0.0,0.0,0.004177898168563843,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.30.mlp.up_proj.lora_A.weight,base_model.model.model.layers.30.mlp.up_proj.lora_B.weight
base_model.model.model.layers.31.self_attn.q_proj,31,q_proj,2,0.05334368720650673,0.0035788980312645435,0.0,0.0,0.0,0.0035788980312645435,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.31.self_attn.q_proj.lora_B.weight
base_model.model.model.layers.30.mlp.gate_proj,30,gate_proj,2,0.11719278991222382,0.0029687839560210705,0.0,0.0,0.0,0.0029687839560210705,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.30.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.30.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.1.mlp.down_proj,1,down_proj,1,0.016859013587236404,0.0014706634683534503,0.0,0.0,0.0,0.0014706634683534503,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight
base_model.model.model.layers.1.mlp.down_proj,1,down_proj,2,0.0126425726339221,0.0008270273101516068,0.0,0.0,0.0,0.0008270273101516068,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight
