module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,A_key,B_key,rank,selection_reason
base_model.model.model.layers.29.mlp.gate_proj,29,gate_proj,2,0.19966202974319458,0.010414623066346907,base_model.model.model.layers.29.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.29.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.25.mlp.gate_proj,25,gate_proj,0,1.892448902130127,0.9549822745113011,base_model.model.model.layers.25.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.25.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.25.mlp.gate_proj,25,gate_proj,1,0.25199922919273376,0.016933448508555285,base_model.model.model.layers.25.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.25.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.25.mlp.gate_proj,25,gate_proj,2,0.21147821843624115,0.011925546027737917,base_model.model.model.layers.25.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.25.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.26.mlp.gate_proj,26,gate_proj,0,1.9813175201416016,0.953991921647966,base_model.model.model.layers.26.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.26.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.26.mlp.gate_proj,26,gate_proj,1,0.29064103960990906,0.02052817843405691,base_model.model.model.layers.26.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.26.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.26.mlp.gate_proj,26,gate_proj,2,0.20893320441246033,0.010608438611809422,base_model.model.model.layers.26.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.26.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.27.mlp.up_proj,27,up_proj,0,1.481853723526001,0.9506752247995257,base_model.model.model.layers.27.mlp.up_proj.lora_A.weight,base_model.model.model.layers.27.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.27.mlp.up_proj,27,up_proj,1,0.24868273735046387,0.02677397064523708,base_model.model.model.layers.27.mlp.up_proj.lora_A.weight,base_model.model.model.layers.27.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.27.mlp.up_proj,27,up_proj,2,0.14297769963741302,0.008850302509173192,base_model.model.model.layers.27.mlp.up_proj.lora_A.weight,base_model.model.model.layers.27.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.22.mlp.gate_proj,22,gate_proj,0,1.7726764678955078,0.9486140575244792,base_model.model.model.layers.22.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.22.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.22.mlp.gate_proj,22,gate_proj,1,0.30613577365875244,0.028291681592378843,base_model.model.model.layers.22.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.22.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
